measurement_time,gadget_id,vibration_x,vibration_y,pressure,temperature,failure_time,Unnamed: 10,Unnamed: 11
2020-06-01 18:45:45.392239,2,9,5,11.175011813044945,107.42779760934492,2020-06-01 21:16:56.000000000,,
2020-06-01 06:43:39.747274,4,5,10,11.870062346901484,107.61008043818474,2020-06-01 07:22:02.000000000,,
2020-06-01 17:19:29.679567,2,5,0,15.231024233893118,42.21553567511096,2020-06-01 18:10:16.000000000,,
2020-06-01 00:05:53.340934,2,8,4,12.904576583077263,11.887432079327196,2020-06-01 00:19:55.000000000,,
2020-06-01 18:07:44.270127,3,9,4,13.994750488809554,23.62349920820597,2020-06-01 20:02:35.000000000,,
2020-06-01 17:19:46.354735,5,8,5,18.800908215859643,106.82379589021927,2020-06-01 19:07:16.000000000,,
2020-06-01 08:17:59.364636,5,3,3,15.261058733595313,95.66311790785268,2020-06-01 08:30:58.000000000,,
2020-06-01 05:48:56.465446,2,10,9,15.808086938888858,38.48029700401882,2020-06-01 07:43:03.000000000,,
2020-06-01 18:07:52.107710,2,7,1,13.72236074745717,19.671996278834506,2020-06-01 20:48:36.000000000,,
2020-06-01 09:44:50.427642,2,10,2,14.933667292781909,63.55502485934928,2020-06-01 11:48:12.000000000,,
2020-06-01 19:28:05.641864,2,9,1,19.329658913398827,85.44681005234396,2020-06-01 21:48:21.000000000,,
2020-06-01 14:12:24.658265,1,4,1,18.205613459049157,58.18329517828944,2020-06-01 16:18:37.000000000,,
2020-06-01 18:50:21.194919,2,3,5,12.646984763276777,107.72467933249678,2020-06-01 20:14:50.000000000,,
2020-06-01 14:19:54.212621,2,9,2,15.6498974426969,40.43006596468744,2020-06-01 15:42:11.000000000,,
2020-06-01 03:27:05.445444,3,8,3,16.088696651028123,81.17162680702435,2020-06-01 05:10:01.000000000,,
2020-06-02 15:23:15.749474,2,7,8,14.13663820998693,66.49181932824663,2020-06-02 17:12:14.000000000,,
2020-06-02 08:18:51.390139,1,1,8,11.052365860304844,49.34036220628461,2020-06-02 10:37:53.000000000,,
2020-06-02 14:00:35.976397,2,10,6,15.273296288615024,107.86529547531056,2020-06-02 16:46:46.000000000,,
2020-06-02 00:36:51.421442,1,3,10,12.486868730397251,43.37602544734506,2020-06-02 02:58:12.000000000,,
2020-06-02 06:07:48.188918,5,10,1,18.01378731351084,74.52080602467394,2020-06-02 07:03:02.000000000,,
2020-06-02 09:07:23.655865,5,6,1,17.230122753111903,97.46499762489644,2020-06-02 09:50:06.000000000,,
2020-06-02 20:35:55.143814,3,10,1,12.475636081769489,55.61928245149331,2020-06-02 22:41:18.000000000,,
2020-06-02 01:20:21.371737,5,6,4,17.116691231262404,29.80054643831658,2020-06-02 02:33:00.000000000,,
2020-06-02 07:33:29.551255,2,4,6,19.659505181739256,33.652527927521206,2020-06-02 09:50:38.000000000,,
2020-06-02 13:13:04.573757,3,5,8,15.03628955837896,49.950531352363285,2020-06-02 14:46:38.000000000,,
2020-06-02 15:24:34.287728,1,3,1,11.900274983621935,84.30366560434496,2020-06-02 17:32:59.000000000,,
2020-06-02 08:01:26.042504,1,9,9,12.599291311538806,23.711024195620297,2020-06-02 09:54:32.000000000,,
2020-06-02 01:52:01.640164,5,2,0,10.590970262684694,20.56324123838441,2020-06-02 03:45:16.000000000,,
2020-06-02 05:25:19.101710,1,6,5,12.497097761225952,28.00229070563036,2020-06-02 07:52:43.000000000,,
2020-06-02 00:03:35.939593,5,6,6,14.53840113417476,57.23337882890315,2020-06-02 02:35:10.000000000,,
2020-06-02 13:03:34.293229,3,5,0,19.50563513358753,99.31985718533387,2020-06-02 15:56:11.000000000,,
2020-06-02 18:03:07.467446,1,2,10,19.85589174806602,83.66110964811544,2020-06-02 19:15:56.000000000,,
2020-06-02 05:38:42.996999,1,3,6,19.585989945161074,42.98433855023399,2020-06-02 08:09:38.000000000,,
2020-06-03 17:54:54.725172,5,2,3,14.660947105063618,66.43498920024324,2020-06-03 18:54:32.000000000,,
2020-06-03 22:23:13.143714,2,3,6,17.353334212155044,100.62641575770718,2020-06-03 23:38:41.000000000,,
2020-06-03 08:41:19.053205,1,2,6,16.04172417299826,108.58941159848015,2020-06-03 11:19:48.000000000,,
2020-06-03 03:50:07.458845,1,7,7,14.41432844673411,89.65555893165035,2020-06-03 06:40:48.000000000,,
2020-06-03 09:02:21.340434,1,8,7,13.913007420339238,53.56786436080366,2020-06-03 10:53:21.000000000,,
2020-06-03 15:11:53.580358,2,3,7,19.9616418128716,86.929066860667,2020-06-03 18:01:58.000000000,,
2020-06-03 12:01:21.457045,1,4,3,13.406503228352223,94.03591363985092,2020-06-03 12:04:21.000000000,,
2020-06-03 19:31:16.068706,2,1,3,16.91070399320968,20.62063583926903,2020-06-03 20:41:37.000000000,,
2020-06-03 14:04:55.103910,1,3,8,16.450680158334407,108.80382483235208,2020-06-03 14:26:37.000000000,,
2020-06-03 13:26:45.144214,2,6,1,17.791771749154805,56.12998072199829,2020-06-03 16:04:17.000000000,,
2020-06-03 02:55:49.689768,4,2,0,14.011610209430884,72.53289336746873,2020-06-03 03:41:18.000000000,,
2020-06-03 04:06:41.780978,2,6,9,10.316143201770885,54.99566881964408,2020-06-03 05:46:28.000000000,,
2020-06-03 12:34:02.588558,5,3,10,14.299940546317554,68.01989675034086,2020-06-03 13:25:12.000000000,,
2020-06-03 03:23:55.018601,1,1,7,10.700584094997067,100.43492386754085,2020-06-03 03:28:56.000000000,,
2020-06-03 09:27:32.917591,1,9,1,13.079667073562558,62.51875310587573,2020-06-03 10:48:59.000000000,,
2020-06-04 04:56:05.072207,4,6,6,16.19120405391513,59.23028324496368,2020-06-04 07:27:19.000000000,,
2020-06-04 04:43:42.040004,2,8,0,15.11504243768805,102.99105517114506,2020-06-04 05:40:15.000000000,,
2020-06-04 20:41:06.296829,3,7,7,16.88792910968232,50.39558455049869,2020-06-04 22:11:45.000000000,,
2020-06-04 05:23:27.213121,4,4,7,11.527721464679642,37.83368236546986,2020-06-04 07:42:20.000000000,,
2020-06-04 21:08:45.112911,3,7,2,11.779135508167316,77.7271800228632,2020-06-04 22:49:20.000000000,,
2020-06-04 03:45:57.168916,5,8,7,11.465337471389144,47.81630424238999,2020-06-04 04:14:42.000000000,,
2020-06-04 03:28:22.983698,5,4,0,18.05586424537143,71.62237973306857,2020-06-04 06:25:08.000000000,,
2020-06-04 04:16:28.736673,3,3,6,16.521948652045655,49.28863046465615,2020-06-04 04:27:36.000000000,,
2020-06-04 18:28:27.882188,2,9,4,13.418477109020568,27.631662387360397,2020-06-04 19:34:10.000000000,,
2020-06-04 13:09:28.634163,3,2,7,19.25408551689433,109.6006488506217,2020-06-04 15:49:26.000000000,,
2020-06-04 13:06:35.882488,1,4,0,11.649818415126887,19.89158903367573,2020-06-04 13:24:10.000000000,,
2020-06-04 20:01:56.474047,4,7,7,17.179028577195723,65.93286937388268,2020-06-04 20:54:56.000000000,,
2020-06-05 10:20:06.635663,2,3,5,19.55380972291391,32.349972292876025,2020-06-05 11:20:16.000000000,,
2020-06-05 06:16:52.956695,5,2,8,14.507684992793523,29.16486654748546,2020-06-05 06:51:52.000000000,,
2020-06-05 12:57:14.439543,4,1,2,13.460967866412073,35.65580702590645,2020-06-05 13:03:50.000000000,,
2020-06-05 18:52:05.245924,3,3,1,10.261290476529712,78.7057149778032,2020-06-05 19:23:13.000000000,,
2020-06-05 15:26:08.501150,5,7,8,10.355164188805148,36.43749777193957,2020-06-05 17:07:11.000000000,,
2020-06-05 15:25:25.313231,5,5,8,14.565648050700332,73.20250815220874,2020-06-05 17:39:45.000000000,,
2020-06-05 14:07:40.018001,4,2,1,13.281927484744855,86.60351911587556,2020-06-05 14:23:11.000000000,,
2020-06-05 08:09:21.109610,5,4,1,15.696292039168371,85.92609297802758,2020-06-05 08:41:18.000000000,,
