measurement_time,gadget_id,vibration_x,vibration_y,pressure,temperature,failure_time
2020-06-01 08:02:03.201360,5,9,1,17.672005617159503,64.12634556440099,2020-06-01 08:16:48
2020-06-01 18:58:17.708185,2,1,2,12.623418637522946,53.45202742491031,2020-06-01 19:10:04
2020-06-01 23:37:13.943147,2,3,1,11.388930352829382,44.91500114963438,2020-06-01 23:58:03
2020-06-01 02:28:36.497924,1,9,6,16.630878192238946,89.0296642833196,2020-06-01 03:56:03
2020-06-01 15:43:39.756687,4,8,6,13.042804288408849,53.899797334863926,2020-06-01 16:42:16
2020-06-01 04:31:05.085604,5,9,10,16.140086395954825,51.853682772903866,2020-06-01 05:28:03
2020-06-01 21:07:06.425621,5,5,9,19.256428680933745,97.7698372734099,2020-06-01 23:16:25
2020-06-01 00:55:30.148207,3,8,0,17.804853163156192,82.26660978621133,2020-06-01 03:41:48
2020-06-01 15:56:07.727686,3,6,5,17.688398719972774,20.87572464487636,2020-06-01 16:23:59
2020-06-01 21:34:06.489924,3,9,1,15.806469185499962,90.57041020099972,2020-06-01 22:57:28
2020-06-01 08:31:52.016350,4,10,2,16.11076951469248,93.8595668371998,2020-06-01 09:45:09
2020-06-01 06:53:48.030801,3,5,9,18.195694042698577,65.64541802411497,2020-06-01 07:36:18
2020-06-01 06:46:30.984149,1,6,3,13.730785715879911,43.236475417722865,2020-06-01 08:14:53
2020-06-01 17:36:04.547027,2,3,5,15.091071424064204,69.67429908591664,2020-06-01 20:03:33
2020-06-01 07:13:18.759937,1,5,4,10.813254815507383,28.633136932008952,2020-06-01 08:30:39
2020-06-01 21:44:58.678483,3,9,7,14.29425720386293,35.443744845264256,2020-06-01 22:55:05
2020-06-01 06:45:04.727386,5,7,2,15.702707719782865,38.9772675658337,2020-06-01 09:15:57
2020-06-01 22:41:08.692234,3,6,10,18.404503319916067,38.70792626365642,2020-06-01 22:54:14
2020-06-01 10:25:38.300615,2,3,6,15.605956205370923,91.6632791669503,2020-06-01 11:00:13
2020-06-01 17:25:59.749687,2,8,2,10.87101314274419,25.665498553080035,2020-06-01 18:32:31
2020-06-01 14:15:32.042802,1,9,10,15.444385049090132,63.99751459560988,2020-06-01 14:39:00
2020-06-01 02:26:01.035751,1,2,1,13.701610133256017,101.35564025229644,2020-06-01 03:24:03
2020-06-01 12:04:16.388869,1,8,0,12.919071985483534,36.29942662631813,2020-06-01 14:31:20
2020-06-01 13:15:16.547277,5,6,8,10.908997914123498,24.559274801065154,2020-06-01 15:20:52
2020-06-01 03:32:36.661033,5,5,4,10.62887177629501,37.3706456438567,2020-06-01 06:26:26
2020-06-01 02:56:15.427771,3,9,9,17.20062912590536,79.45091847198228,2020-06-01 03:45:32
